x,y,z,bank_angle
247.350838,-10.585459,1.047236,-0.015963
237.116835,-10.462764,1.018497,-0.015639
226.696481,-10.335730,0.989844,-0.015276
216.077116,-10.206611,0.961130,-0.014983
205.223174,-10.075979,0.931930,-0.014730
194.304981,-9.942178,0.902084,-0.014444
183.335786,-9.804750,0.871688,-0.014151
172.371070,-9.666408,0.841026,-0.013873
161.442033,-9.523612,0.810165,-0.013609
150.887958,-9.384070,0.779216,-0.013549
140.653292,-9.246382,0.748401,-0.013648
130.748877,-9.113803,0.717751,-0.013743
120.855974,-8.977941,0.687093,-0.013650
111.047271,-8.845448,0.656532,-0.013395
103.070999,-8.737479,0.631376,-0.012980
95.177151,-8.636019,0.606678,-0.012421
87.369318,-8.536929,0.582451,-0.011711
77.851525,-8.417053,0.554043,-0.011863
68.385326,-8.291296,0.526977,-0.011849
58.956361,-8.160314,0.501353,-0.011711
49.625772,-8.026448,0.476900,-0.011492
40.416802,-7.897293,0.453254,-0.011240
31.414504,-7.777530,0.429989,-0.011004
